stage,date_of_status_update,district,address,street_dir,street_name,city,cleared_by_employee,billed_adder_notes,billed_adder_other,cb_date,cb_report,clear_date,cleared_by,client_no,co_install_y_n,conflict_repair_date,crew_lead,crew_tech,depth_1,depth_2,depth_3,depth_4,depth_5,desc_1,desc_2,desc_3,desc_4,desc_5,dig_hrs,dig_y_n,dir_lat_frm_mh,dist_1,dist_2,dist_3,dist_4,dist_5,dist_mh_to_lat,door_tag_date1,door_tag_date2,door_tag_date3,end_mh,field_notes,gas_main_clr_date,gas_main_clr_method,gas_service_clr_date,gas_service_clr_method,inspection_hourly,inspection_type,inspector,lat_inspection_push_camera_ea,latitude,longitude,measurements_y_n,no_videos_today,no_videos_total,notes_doortag,notes_extra,num_of_co_installs,phase,photo_map,pipe_complete,project_no,pv_stage,qa_comments_1,qa_comments_2,qa_comments_3,qa_name,qa_pass_fail_1,qa_pass_fail_2,qa_pass_fail_3,qc_comments_1,qc_comments_2,qc_comments_3,qc_date_1,qc_date_2,qc_date_3,qc_name_1,qc_name_2,qc_name_3,qc_p_f_1,qc_p_f_2,qc_p_f_3,ref_1,ref_2,ref_3,ref_4,ref_5,rerun_deadline,rerun_y_n,sanitary_main_cleaning_lf,sanitary_main_inspection_lf,sewer_lat_inspection_lat_launch_ea,sewer_lateral_cleaning_lf,sewer_ml_ft,sewer_type,site_photos,start_mh,state,status_update,storm_main_cleaning_lf,storm_main_inspection_lf,street_direction,time,to_bldg,utility_type,video_1,video_2,video_3,video_date_1,video_date_2,video_date_3,video_device_1,video_device_2,video_device_3,video_type,video_url,video_url_2,video_url_3
COMPLETE,2025-06-04,,645,,MERCHANT ST,OSWEGO ,,,,,,2025/06/04,2400,6 AND MERCHANT,,,James Atwood,Michael Parrish,0,0,,,,TAP,END,,,,,,South,282.9,59.7,,,,282.9,,,,,,2025/06/04,LETS,2025/06/04,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,37.1637,-95.1082,yes,1,1,,NO GAS / CLEAR,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_456b7e_cdv_photo_002_1749071892165.jpg"",""rid"":38783073,""lid"":""6728851"",""fid"":""865"",""field"":""photo_map"",""title"":""mdc_photo_mdc_456b7e_cdv_photo_002_1749071892165.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0403,COMPLETE,,,,,,,,,,,2025/06/17,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,,MH 635 MERCHANT ST ,KS,2025/06/04,,,,16:12,,2,James Atwood,,,2025/06/04,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/af5f240d-a408-4bb2-84f5-a04e73792650?t=2.211047&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&status=uploaded&client_reviewed=false&ordering=-Inspection_Date&city=OSWEGO,,
GAS LINE,2025-05-05,,,,,,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9768,-95.6857,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,11:00,,1,,,,,,,,,,,,,
GAS LINE,2025-06-05,,,,,COMMERCE,,,,,,2025/06/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,36.9375,-94.8749,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2025/06/05,,,,12:12,,1,,,,,,,,,,,,,
COMPLETE NO BILL,2025-08-08,,7603.1,,Kingsmans dr,El paso,,,,,,2025/08/08,---------------------,Kingsmans dr,,,---------------------,---------------------,0,,,,,End,,,,,,No,,1.5,,,,,,,,,,,2025/08/08,LETS,2025/08/08,LETS,,Post,Scott.lovelady@Onegas.com ,,31.7612,-106.362,yes,1,1,,"Truck5100 Lead - Christian E. Tech - Derek K. 
Caps off at 1.5",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_98dc5e_cdv_photo_021_1754676560833.jpg"",""rid"":39661292,""lid"":""6728851"",""fid"":""1153"",""field"":""photo_map"",""title"":""mdc_photo_mdc_98dc5e_cdv_photo_021_1754676560833.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0723,COMPLETE NO BILL,,,,,,,,,,,2025/12/10,,,Katy Thompson,,,Pass,,,A,,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_40701d_cdv_photo_019_1754676560833.jpg"",""rid"":39661290,""lid"":""6728851"",""fid"":""1153"",""field"":""site_photos"",""title"":""mdc_photo_mdc_40701d_cdv_photo_019_1754676560833.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_0d3ec2_cdv_photo_020_1754676560833.jpg"",""rid"":39661291,""lid"":""6728851"",""fid"":""1153"",""field"":""site_photos"",""title"":""mdc_photo_mdc_0d3ec2_cdv_photo_020_1754676560833.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/08,,,,12:06,,2,---------------------,,,2025/08/08,,,-----------------,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/a2413ce0-0b99-4437-9364-5d388b32e0f0?t=0&limit=30&offset=0&status=uploaded&client_reviewed=false&issues=false&ordering=-Inspection_Date&project=25PV0406+ONE+GAS+,,
GAS LINE,2025-05-05,,,,,,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9783,-95.6863,,,,,,,,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/05,,,,12:30,,1,,,,,,,,,,,,,
COMPLETE NO BILL,2025-08-05,,Extra tap 4,,15th St,Monahans ,,,,,,2025/08/05,---------------------,15TH ST Monaghan ,,,---------------------,---------------------,,,,,,Capped 12T,,,,,,No,,84,,,,,,,,,,,2025/08/05,LETS,2025/08/05,LETS,,Post,Z,,31.5809,-102.888,yes,1,1,,"Truck5100
Lead - Christian E. Tech - Derek K.
Lat is capped at 84",,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_3e2a28_cdv_photo_006_1754422731230.jpg"",""rid"":39612969,""lid"":""6728851"",""fid"":""1006"",""field"":""photo_map"",""title"":""mdc_photo_mdc_3e2a28_cdv_photo_006_1754422731230.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",N/A,0723,COMPLETE NO BILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_803cee_cdv_photo_005_1754422731230.jpg"",""rid"":39612968,""lid"":""6728851"",""fid"":""1006"",""field"":""site_photos"",""title"":""mdc_photo_mdc_803cee_cdv_photo_005_1754422731230.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/05,,,,14:36,,2,---------------------,,,2025/08/05,,,-----------------,,,Lateral Launch,,,
GAS LINE,2025-05-06,,,,SW LINDENWOOD AVE ,TOPEKA ,,,,,,2025/05/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.0602,-95.7002,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/06,,,South,07:40,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,,TOPEKA,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9773,-95.683,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,14:10,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,,TOPEKA,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.9767,-95.6823,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,13:59,,1,,,,,,,,,,,,,
COMPLETE,2025-06-02,,217,,3RD ST,COMMERCE ,,,,,,2025/06/02,2400,5TH AND RIVER,,,James Atwood,Michael Parrish,0,0,0,,,TAP,9T,12T/END,,,,,South,54.5,69.6,84.8,,,54.5,,,,,,2025/06/02,LETS,2025/06/02,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,36.9362,-94.8747,yes,1,1,,9T NO CONFLICT,,One Gas,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_2238c0_cdv_photo_004_1748876347297.jpg"",""rid"":38745906,""lid"":""6728851"",""fid"":""773"",""field"":""photo_map"",""title"":""mdc_photo_mdc_2238c0_cdv_photo_004_1748876347297.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",Yes,0406,COMPLETE,,,,,,,,,,,2025/06/03,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_c2621f_cdv_photo_003_1748875853102.jpg"",""rid"":38745788,""lid"":""6728851"",""fid"":""773"",""field"":""site_photos"",""title"":""mdc_photo_mdc_c2621f_cdv_photo_003_1748875853102.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 302 N QUINCY ST ,OK,2025/06/02,,,North,09:42,,2,Robert Gudgel,,,2025/06/02,,,2400 LETS,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/b6e38b40-f60f-468c-954a-402b45a8e9c5?t=4.333835&limit=30&offset=0&project=24PV0408+MESA+COUNTY-GATEWAY&client_reviewed=false&city=COMMERCE,,
COMPLETE,2025-05-05,,218,,SW TERRA DR ,TOPEKA ,,,,,,2025/05/05,1800,PW-24R3-TOPEKA-SW SANNEMAN AND TERRA DR-CWO-5/31/25 ,,,Eric Zerr,Carter Pacheco,51,48,26,,,TAP,GMI,END,,,,,East,167.3,66.7,119.1,,,167.3,,,,,,2025/05/05,LETS,2025/05/05,LETS,,Post,SCOTT.LOVELADY@ONEGAS.COM ,,38.9783,-95.6854,yes,1,1,,,,,,N/A,0406,COMPLETE,,,,,,,,,,,,,,,,,,,,A,B,C,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_7ef521_cdv_photo_000_1746482911860.jpg"",""rid"":38442406,""lid"":""6728851"",""fid"":""577"",""field"":""site_photos"",""title"":""mdc_photo_mdc_7ef521_cdv_photo_000_1746482911860.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",MH 225 SW TERRA DR ,KS,2025/05/05,,,,16:57,,2,Eric Zerr,,,2025/05/05,,,1800 LETS,,,Lateral Launch,,,
GAS LINE,2025-05-06,,2208,,SW DUANE ST,TOPEKA ,,,,,,2025/05/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.0614,-95.7035,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/06,,,,08:16,,1,,,,,,,,,,,,,
GAS LINE,2025-08-08,,,,,,,,,,,2025/08/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,31.7606,-106.363,,,,,,,One Gas,,,0723,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/08/08,,,,08:57,,1,,,,,,,,,,,,,
GAS LINE,2025-05-07,,,,,,,,,,,2025/05/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,39.1902,-96.5667,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/05/07,,,,09:03,,1,,,,,,,,,,,,,
GAS LINE,2025-05-08,,,,,HUTCHINSON ,,,,,,2025/05/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.0516,-97.9401,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/08,,,,08:18,,1,,,,,,,,,,,,,
GAS LINE,2025-05-05,,,,,Topeka,,,,,,2025/05/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post,,,38.977,-95.6818,,,,,,,One Gas,,,0406,GAS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,2025/05/05,,,,13:50,,1,,,,,,,,,,,,,
LETS,2025-08-07,,7700,,Mojave Dr,El Paso,,,,,,2025/08/08,---------------------,Kingman Alpine relo El Paso ,,,---------------------,---------------------,0,0.36,,,,End,GMI,,,,,No,,61,32,,,,,,,,,,2025/08/08,PO,2025/08/08,PO,,Post,Scott.lovelady@Onegas.com ,,31.7606,-106.363,yes,1,1,,08/07/2025 4600 knocked but recieved no answer. Will try and clear through the mainline,,One Gas,,Yes,0723,LETS,,,,,,,,,,,2025/12/10,,,Katy Thompson,,,Pass,,,A,B,,,,,,,,1,,,Lateral Inspection,"___json[{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_2d92d2_cdv_photo_1754671100_1754671272024.jpg"",""rid"":39659960,""lid"":""6728851"",""fid"":""1093"",""field"":""site_photos"",""title"":""mdc_photo_mdc_2d92d2_cdv_photo_1754671100_1754671272024.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_59e04b_cdv_photo_1754671109_1754671272024.jpg"",""rid"":39659961,""lid"":""6728851"",""fid"":""1093"",""field"":""site_photos"",""title"":""mdc_photo_mdc_59e04b_cdv_photo_1754671109_1754671272024.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false},{""pathname"":""/Collected Media/map_2662324/layer_6728851/mdc_photo_mdc_fcfa69_cdv_photo_1754671119_1754671272024.jpg"",""rid"":39659962,""lid"":""6728851"",""fid"":""1093"",""field"":""site_photos"",""title"":""mdc_photo_mdc_fcfa69_cdv_photo_1754671119_1754671272024.jpg"",""ext"":""jpg"",""panorama"":false,""isDir"":false}]",,TX,2025/08/07,,,,10:35,,2,---------------------,,,2025/08/08,,,-----------------,,,Lateral Launch,https://pioneer.sewerai.com/dashboard/review/f25e8841-0ed1-4cc9-85c7-7925c417e410?t=0&limit=30&offset=0&status=uploaded&client_reviewed=false&issues=false&ordering=-Inspection_Date&project=25PV0406+ONE+GAS+,,
